Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CP_Elec_6.3x5.4","CP_Elec_6.3x5.4",252.300000,-97.000000,0.000000,top
"C2","1uF","C_0603_1608Metric",213.725000,-127.000000,0.000000,top
"C3","1uF","C_0603_1608Metric",149.775000,-95.500000,0.000000,top
"C4","CP_Elec_6.3x5.4","CP_Elec_6.3x5.4",248.200000,-107.500000,0.000000,top
"C5","1uF","C_0603_1608Metric",149.775000,-127.000000,0.000000,top
"C6","10uF","C_0603_1608Metric",206.225000,-122.500000,0.000000,top
"C7","10uF","C_0603_1608Metric",142.225000,-122.500000,0.000000,top
"C8","10uF","C_0603_1608Metric",238.225000,-96.000000,0.000000,top
"C9","10uF","C_0603_1608Metric",174.225000,-122.500000,0.000000,top
"C10","10uF","C_0603_1608Metric",142.225000,-96.000000,0.000000,top
"C11","10uF","C_0603_1608Metric",110.225000,-96.000000,0.000000,top
"C12","10uF","C_0603_1608Metric",174.225000,-96.000000,0.000000,top
"C13","10uF","C_0603_1608Metric",110.225000,-122.500000,0.000000,top
"C14","10uF","C_0603_1608Metric",238.275000,-123.000000,0.000000,top
"C15","10uF","C_0603_1608Metric",206.000000,-96.000000,0.000000,top
"C16","1uF","C_0603_1608Metric",213.500000,-96.000000,0.000000,top
"C17","1uF","C_0603_1608Metric",117.500000,-127.500000,0.000000,top
"C18","1uF","C_0603_1608Metric",182.000000,-127.000000,0.000000,top
"D1","D_SOD-123","D_SOD-123",246.000000,-117.850000,-90.000000,top
"F1","Fuse_1206_3216Metric","Fuse_1206_3216Metric",247.600000,-123.000000,180.000000,top
"J1","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",99.400000,-63.960000,0.000000,top
"J2","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",132.900000,-64.000000,0.000000,top
"J3","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",164.900000,-63.960000,0.000000,top
"J4","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",197.400000,-64.000000,0.000000,top
"J5","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",229.900000,-64.000000,0.000000,top
"J6","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",100.400000,-131.460000,0.000000,top
"J7","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",131.400000,-131.500000,0.000000,top
"J8","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",165.400000,-131.500000,0.000000,top
"J9","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",196.400000,-131.500000,0.000000,top
"J10","SMA_Amphenol_132134-14_Vertical","SMA_Amphenol_132134-14_Vertical",229.900000,-131.460000,0.000000,top
"J11","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",259.500000,-119.000000,90.000000,top
"R1","5.1k","R_0603_1608Metric",253.175000,-120.000000,0.000000,top
"R2","5.1k","R_0603_1608Metric",253.175000,-118.000000,0.000000,top
"U1","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",99.900000,-84.500000,0.000000,top
"U2","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",131.900000,-84.500000,0.000000,top
"U3","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",163.900000,-84.500000,0.000000,top
"U4","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",195.900000,-84.500000,0.000000,top
"U5","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",227.900000,-84.500000,0.000000,top
"U6","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",99.900000,-111.500000,0.000000,top
"U7","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",131.900000,-111.500000,0.000000,top
"U8","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",163.900000,-111.500000,0.000000,top
"U9","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",195.900000,-111.500000,0.000000,top
"U10","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",227.900000,-111.500000,0.000000,top
